ra,dec,r,name,ra_hms,dec_dms,ra_deg,dec_deg,z,imag,comment
251.913164302391,25.8757317739894,16.71336,J164737.91+255337.9,8/25/2017 4:47:37 PM,+25:53:37.9,251.908,25.89386,3.376,19.97,N-rich_QSO
251.923031438043,25.8963635073072,16.67851,J164737.91+255337.9,8/25/2017 4:47:37 PM,+25:53:37.9,251.908,25.89386,3.376,19.97,N-rich_QSO
251.894603591025,25.8796914212028,15.62674,J164737.91+255337.9,8/25/2017 4:47:37 PM,+25:53:37.9,251.908,25.89386,3.376,19.97,N-rich_QSO
251.923688559763,25.9077497259419,16.81147,J164737.91+255337.9,8/25/2017 4:47:37 PM,+25:53:37.9,251.908,25.89386,3.376,19.97,N-rich_QSO
246.060362043427,22.0618790288861,16.95584,J162411.38+220428.0,8/25/2017 4:24:11 PM,+22:04:28.0,246.0474,22.07444,2.005,19.11,N-rich_QSO
246.041730541813,22.0552854841763,16.10152,J162411.38+220428.0,8/25/2017 4:24:11 PM,+22:04:28.0,246.0474,22.07444,2.005,19.11,N-rich_QSO
246.051497607248,22.0883626549374,13.72622,J162411.38+220428.0,8/25/2017 4:24:11 PM,+22:04:28.0,246.0474,22.07444,2.005,19.11,N-rich_QSO
237.531910588809,3.22915629091923,16.72585,J155003.70+031325.0,8/25/2017 3:50:03 PM,+03:13:25.0,237.5154,3.223611,1.788,17.35,N-rich_QSO
237.524450392923,3.2356782927223,15.20309,J155003.70+031325.0,8/25/2017 3:50:03 PM,+03:13:25.0,237.5154,3.223611,1.788,17.35,N-rich_QSO
237.52175183318,3.23685933619926,13.99686,J155003.70+031325.0,8/25/2017 3:50:03 PM,+03:13:25.0,237.5154,3.223611,1.788,17.35,N-rich_QSO
237.514218061402,3.23354669901789,16.99503,J155003.70+031325.0,8/25/2017 3:50:03 PM,+03:13:25.0,237.5154,3.223611,1.788,17.35,N-rich_QSO
237.497996357045,3.21131894412504,16.39954,J155003.70+031325.0,8/25/2017 3:50:03 PM,+03:13:25.0,237.5154,3.223611,1.788,17.35,N-rich_QSO
243.172913275773,25.2585707358709,15.1928,J161243.14+251608.8,8/25/2017 4:12:43 PM,+25:16:08.8,243.1797,25.26911,1.805,18.59,N-rich_QSO
243.160363039803,25.2658953519894,15.63735,J161243.14+251608.8,8/25/2017 4:12:43 PM,+25:16:08.8,243.1797,25.26911,1.805,18.59,N-rich_QSO
233.349878848294,1.0846717480297,16.68882,J153322.52+010543.5,8/25/2017 3:33:22 PM,+01:05:43.5,233.3438,1.095417,1.781,18.94,N-rich_QSO
240.530521207688,28.3148938129159,10.97118,J160210.30+281744.3,8/25/2017 4:02:10 PM,+28:17:44.3,240.5429,28.29564,3.164,19.08,N-rich_QSO
253.788284845179,37.528635200661,14.48703,J165508.72+373244.6,8/25/2017 4:55:08 PM,+37:32:44.6,253.7863,37.54572,2.092,18.88,N-rich_QSO
253.771868408614,37.5381860957827,16.81821,J165508.72+373244.6,8/25/2017 4:55:08 PM,+37:32:44.6,253.7863,37.54572,2.092,18.88,N-rich_QSO
229.259408930787,3.49270133497438,16.43937,J151658.64+032849.6,8/25/2017 3:16:58 PM,+03:28:49.6,229.2443,3.480444,2.851,19.23,N-rich_QSO
229.254452452314,3.49424427895974,16.53552,J151658.64+032849.6,8/25/2017 3:16:58 PM,+03:28:49.6,229.2443,3.480444,2.851,19.23,N-rich_QSO
229.253841404563,3.49357401167633,16.32209,J151658.64+032849.6,8/25/2017 3:16:58 PM,+03:28:49.6,229.2443,3.480444,2.851,19.23,N-rich_QSO
